question,respondent,response,frequency
% of US teens/parents who say they spend too much time on their cellphone,Teens,0.54,na
% of US teens/parents who say they spend too much time on their cellphone,Parents,0.36,na
% of US teens/parents who say they check phone for messages as soon as they wake up,Teens,0.44,Often
% of US teens/parents who say they check phone for messages as soon as they wake up,Parents,0.26,Often
% of US teens/parents who say they check phone for messages as soon as they wake up,Teens,0.28,Sometimes
% of US teens/parents who say they check phone for messages as soon as they wake up,Parents,0.32,Sometimes
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Teens,0.14,Often
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Parents,0.3,Often
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Teens,0.37,Sometimes
% of US teens/parents who say they feel their parent/teen is distracted by their phone when having in-person conversations,Parents,0.42,Sometimes
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Teens,0.08,Often
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Parents,0.15,Often
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Teens,0.23,Sometimes
% of US teens/parents who say they lose focus in class/work because they are checking cellphone,Parents,0.24,Sometimes
